Time stamp(ms),Ax,Ay,Az,Gx,Gy,Gz,pitch,roll
6352,-0.0781,-0.0332,0.9682,2.1362,0.4882,0.7324,-3.139070175,-2.260524755
6352,-0.0751,-0.0341,0.9692,2.1362,0.4882,0.8544,-3.111254119,-2.288340811
6352,-0.0747,-0.0351,0.9707,2.0141,0.4272,0.8544,-3.096334175,-2.303288135
6355,-0.0761,-0.0332,0.9731,1.9531,0.5493,0.7934,-3.1282985,-2.271314673
6355,-0.0761,-0.0341,0.9687,2.0141,0.4272,0.7324,-3.116953646,-2.282668664
6355,-0.0756,-0.0351,0.9726,2.0141,0.4272,0.7324,-3.10159619,-2.29802612
6362,-0.0766,-0.0332,0.9682,2.0141,0.4882,0.7324,-3.131033679,-2.26857951
6362,-0.0756,-0.0346,0.9711,1.9531,0.4882,0.9155,-3.107855846,-2.291766464
6362,-0.0737,-0.0327,0.9711,2.0141,0.5493,0.8544,-3.121163259,-2.278440793
6365,-0.0737,-0.0327,0.9692,1.831,0.5493,0.7324,-3.121190639,-2.278440793
6365,-0.0761,-0.0351,0.9687,1.831,0.6103,0.8544,-3.10450263,-2.29511968
6365,-0.0786,-0.0302,0.9692,1.9531,0.3662,0.8544,-3.179341116,-2.220299438
6372,-0.0747,-0.0351,0.9697,1.831,0.6103,0.7934,-3.096361555,-2.303260755
6372,-0.0747,-0.0317,0.9692,1.892,0.5493,0.7934,-3.139817218,-2.259805092
6372,-0.0756,-0.0346,0.9692,1.892,0.3662,0.8544,-3.107864982,-2.291784708
6375,-0.0791,-0.0341,0.9672,1.892,0.6103,0.9155,-3.133292392,-2.266320796
6375,-0.0776,-0.0346,0.9707,1.77,0.6713,0.8544,-3.119108846,-2.280513464
6375,-0.0781,-0.0341,0.9702,1.831,0.5493,0.7934,-3.127978274,-2.271653158
6382,-0.0756,-0.0351,0.9692,1.892,0.6103,0.8544,-3.101614448,-2.29799874
6382,-0.0766,-0.0356,0.9697,1.831,0.5493,0.8544,-3.101184118,-2.298447313
6382,-0.0761,-0.0317,0.9667,1.9531,0.5493,0.9155,-3.147410206,-2.252202967
6385,-0.0756,-0.0327,0.9682,1.831,0.4882,0.7324,-3.13191092,-2.267729649
6385,-0.0756,-0.0312,0.9687,1.892,0.5493,0.8544,-3.15119247,-2.24842984
6385,-0.0751,-0.0327,0.9697,1.831,0.5493,0.9765,-3.129133973,-2.270497458
6392,-0.0766,-0.0317,0.9667,1.892,0.6103,0.7934,-3.15007698,-2.249536209
6392,-0.0737,-0.0302,0.9682,1.831,0.6713,0.7934,-3.154072542,-2.245540646
6392,-0.0756,-0.0332,0.9672,1.831,0.6103,0.7934,-3.125541994,-2.274080316
6395,-0.0776,-0.0312,0.9687,1.9531,0.5493,0.7934,-3.161636985,-2.237976188
6395,-0.0751,-0.0346,0.9692,1.77,0.6103,0.7934,-3.104999581,-2.294631851
6395,-0.0747,-0.0341,0.9702,1.831,0.5493,0.9155,-3.108991956,-2.290639476
6402,-0.0776,-0.0332,0.9677,1.9531,0.3662,0.7934,-3.136441873,-2.26319868
6402,-0.0766,-0.0322,0.9667,1.892,0.6103,0.8544,-3.143705594,-2.255907594
6402,-0.0717,-0.041,0.956,1.9531,0.5493,0.7324,-3.004459118,-2.395154055
6405,-0.0844,-0.0385,0.9814,8.1176,8.0566,0.6103,-3.108366283,-2.289202462
6405,-0.0791,-0.0249,0.9692,6.7749,-0.7934,0.7324,-3.24950823,-2.149584692
6405,-0.0742,-0.0361,0.9711,3.7841,3.1738,0.6713,-3.080547274,-2.318399641
6412,-0.08,-0.0283,0.9614,6.4697,6.1645,0.6103,-3.209400374,-2.188697729
6412,-0.0776,-0.0278,0.9667,1.7089,5.0659,0.6713,-3.205538317,-2.193435978
6412,-0.0815,-0.0307,0.9707,-3.54,5.0048,0.6713,-3.187706999,-2.212061333
6415,-0.082,-0.0385,0.9663,-2.4414,3.9062,0.6713,-3.097345276,-2.302423056
6415,-0.082,-0.0302,0.9682,1.6479,2.0141,0.7324,-3.195378444,-2.204061327
6415,-0.082,-0.0341,0.9721,3.6621,0.9765,0.7934,-3.147841774,-2.25145196
6422,-0.0815,-0.0312,0.9711,6.1035,0.1831,0.6713,-3.180120875,-2.218926423
6422,-0.0786,-0.0297,0.9677,6.7749,0.122,0.8544,-3.18498539,-2.213970647
6422,-0.081,-0.0292,0.9721,4.5166,0.5493,0.7934,-3.202838706,-2.196391132
6425,-0.0795,-0.0297,0.9707,2.1362,0.6713,0.7934,-3.189974515,-2.209593035
6425,-0.0805,-0.038,0.9697,5.249,-2.3193,0.122,-3.093815073,-2.305734203
6425,-0.0888,-0.041,0.9667,10.0097,0.4882,-12.9394,-3.102829462,-2.295588095
6432,-0.0664,-0.0332,0.9648,2.1972,0.3051,-89.1723,-3.06836324,-2.331249948
6432,-0.0625,-0.0258,0.9765,2.6855,-2.0141,-136.0473,-3.150974348,-2.248912626
6432,-0.0952,-0.0083,0.9965,1.892,0.2441,-145.7519,-3.500054374,-1.899613574
6435,-0.0805,-0.0605,0.9335,-2.0141,-4.6386,-151.5502,-2.861758587,-2.539223605
6435,-0.0795,-0.0615,0.9609,5.31,-0.7934,-122.0703,-2.844699408,-2.554612569
6435,-0.0952,-0.0312,0.9765,10.6201,-25.6958,-76.477,-3.235492768,-2.166748966
6442,-0.0083,-0.1347,1.0107,13.2446,-10.498,-32.4707,-1.868535417,-3.53104124
6442,-0.1367,0.0146,0.958,6.4086,-2.6245,-30.0903,3.479024906,-1.678463256
6442,-0.0458,-0.0214,0.9912,-14.3432,-9.3994,-9.2163,-3.101251949,-2.3022858
6445,-0.0712,-0.0385,0.9389,-2.9296,-1.4038,-10.2539,-3.032402303,-2.368233069
6445,-0.0322,-0.0063,0.975,-0.9765,1.5869,-2.5634,-3.37873407,-2.021162026
6445,-0.0424,-0.0058,0.975,-1.4648,3.7231,-2.1972,-3.444425277,-1.955224398
6452,-0.0537,-0.0161,0.9755,2.0141,3.54,-4.1503,-3.265902079,-2.133254754
6452,-0.1049,-0.0795,0.9741,4.6386,3.7841,-8.6059,-2.856155657,-2.542572218
